userName,score,at,content
Abdul Aziz,1,2022-10-23 02:35:05,"subtitle untuk anime mohon di perbaiki, subtitle warna putih tidak bisa dibaca, di setiap scene yg warna terang atau putih !"
SDY ALYN,1,2022-10-22 19:05:01,Aplikasi sangat tidak berguna
prayoga pratama,2,2022-10-22 15:32:25,"Ribet, masih bagus dan simple disney hotstar"
Rimadayana01 Rimadayana01,5,2022-10-21 23:09:59,Aplikasi sangat suka
Anand nurliyan,1,2022-10-21 21:30:31,"Sekarang Netflix suda tidak jelas, padahal saya suda berlaganan hampir 6 dan di minta di rubah paketan dan suda di rubah paketan nya tetapi sekarang suka eror bahkan kalo buka Netflix suka tidak bisa dan kalo bisa pun mau nonton Vidio online terjadi kesalahan terus dan mau pun itu Vidio yg suda di download selalu terjadi kesalahan, maupun itu suda di hapus dan di download ulang. Saya lapor di email tapi tidak bisa dan tidak ada respon, mohon respon nya pak/ibu🙏"
h a r t a n t i,5,2022-10-21 14:57:07,"Abis bebenah,anak tidur emang paling pas nonton netflix wkwk"
Nur Amalina Febriyati Rahajeng,4,2022-10-21 13:55:45,Netflix saya dibuka kok kembali ke beranda lagi
Depot Tirta,1,2022-10-21 10:21:58,Ga bisa masuk kenapa sih padahal akun dan sandi udh benar....selalu ada tulisan HAMPIR SELESAI.. Maksud nya apa ya????
Pasya boda,1,2022-10-21 09:22:23,"Saya kasih bintang satu karena,kenapa Netflix itu pake bayar sadangkan yang lain itu ga pake bayar, akun juga udah daftar aku tapi nggak ke masuk masuk ke apk nya, mohon maaf untuk apk ini tidak pake bayar lagi🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕"
Dzul Arsyl Majid,1,2022-10-20 19:29:06,"LOL percuma bayar mahal tapi filmnya ga lengkap, pantes aja pada milih buat beli bajakan langganan netflix dari pada beli langganan di netflik langsung"
Nathan Tangkilisan,1,2022-10-20 16:24:52,Ga ada yg nonton tpi ada pemberitahuan banyak yg memakai akun..
Dian Novia Sartika,5,2022-10-20 10:30:13,"Bertahan bahkan diarea yg limit sinyal. Salute, resolusi tetap tajam, pilihan variatif, worth it."
Kokweng Gonzales,3,2022-10-20 05:53:02,Gambar jelas kebanyakan film lama
Clarissa Valeria,5,2022-10-20 02:30:43,Lebih update lagi untuk drakor terbaru yang on going. Karna banyak banget drakor on going tapi di netflix tidak ada. Utk keseluruhan semua nya bagus. 😍
Mugi Yono,1,2022-10-19 22:49:16,Susah msk sangat di sayangkan
Lia Psa,4,2022-10-19 12:48:46,𝑻𝒐𝒍𝒐𝒏𝒈 𝒅𝒐𝒏𝒈 𝒖𝒏𝒕𝒖𝒌 𝒖𝒏𝒅𝒆𝒓𝒘𝒐𝒓𝒍𝒅 𝒔𝒂𝒎𝒂 𝒕𝒉𝒆 𝒕𝒘𝒊𝒍𝒊𝒈𝒉𝒕 𝒅𝒊𝒍𝒆𝒏𝒈𝒌𝒂𝒑𝒊 𝒔𝒆𝒂𝒔𝒐𝒏 𝒏𝒚𝒂
El Nozie,1,2022-10-19 10:48:58,"Ribet suruh bayar dulu..lah mending pake viu ga mau beli paket premium tp masih bisa menikmati film yg gratis,,"
Muhammad Farhan,1,2022-10-19 08:56:18,udah daftar ngga bisa masuk
Robert Herman,5,2022-10-19 05:59:19,"agak mahal untuk berlangganan.. tapi layanan nya banyak variasi dan bagus, cocok untuk hiburan atau nonton bersama.."
Suvi Lucky,5,2022-10-19 02:10:17,Netflix mendukung film2 dengan resolusi yg sangat tinggi dan mendukung fitur2 Dolby vision serta kodel Lp1 yg membuat pengalamam menonton saya jauh lebih nikmattt
Pemean Teles,1,2022-10-19 01:21:09,"Pendaftaran udah mudah, tapi subtitlenya gabisa kebaca. Kacau dah"
mr. sandiago,1,2022-10-18 22:58:27,"Banyak film yang belum update, bintang akan saya ubah setelah seluruh film update"
Mahesa Mahes,2,2022-10-18 17:32:12,"Login lu Benerin, ga jelas gua gabisa masuk malah stuck, gajelas"
dedi prasetyo,1,2022-10-18 08:22:53,Filmnya bawa² nama Tuhan. Itu gimana saya sangat kecewa dgn aplikasi ini Lain kali kalo buat fillm yg bnr
Ita Aja,3,2022-10-18 04:28:20,Lumayan bagus film barunya aja harus diperbanyak
Mr Day,3,2022-10-18 03:27:44,Apps bagus cm harga paket mahal dan kualitas gambar tdk sebening disney
Erick Theza Permadi,1,2022-10-17 17:35:00,Setelah pendaftaran dan sudah bayar baru 2 hari eror minta update dan pas di update ko login ulang dan suruh bayar lagi sih . Tolongpihak netflik gimana ini
Mnaufal Hisyam,1,2022-10-17 14:13:29,"Udah bayar mahal tapi gabisa masuk stuck di logo netflix mulu, hadeh rugi"
Maulida Vn10,3,2022-10-17 12:48:28,"waktu saya nonton film or series dan saya stop ditengah"" mau dilanjutkan nanti eh pas mau ngelanjutin selalu kembali keawal terus jadi lupa sebelumnya sampe mana nontonnya dan subtitle nya juga warna putih gk kelihatan klo backgroundnya juga putih"
Players Gaming,1,2022-10-17 10:39:59,"Font nya gak ada pilihan nya, cuman warna putih, pas nonton jadi gak nyaman kadang gak jelas, Rugi udah download."
Digi Cellular,5,2022-10-17 06:55:46,Tapi saya kok gk bisa masuk ya ... Padahal udh daftr pakek email
Dwi Mulyanto,5,2022-10-16 13:35:49,"Gambar HD, pilihan film banyak dan update"
Muhamad Pramana,5,2022-10-16 10:30:22,Subtitlenya mohon di beri border biar lebih nyaman dan jelas bacanya
Agoes Rachmat,3,2022-10-15 23:30:33,Tulong untuk tulisan sub nya dikasih latar hitam. Susah kebaca sub nya
alfiana trisnawati,1,2022-10-15 13:50:30,Mendadak videonya suka keluar sendiri
Hendra Gunawan,1,2022-10-15 12:50:04,Ini netflix dari td ngk bisa daftar ulang ..parahhhh tlg dong team netflix
Bawi Linggama,5,2022-10-15 12:11:54,"Sangat puas menggunakan Netflix, mulai dari series dan film original yang banyak dan menarik, sampai tampilan UI yang bagus dan gak ribet."
Azkhayri Toko,1,2022-10-15 11:58:41,"Jika berhenti berlangganan, lalu berlangganan lagi tidak bisa ganti paket, jenis pembayaran pun gak bisa diganti, menyebalkan"
Bobby Saputra,3,2022-10-15 08:05:22,Substitlenya itu loh coba d ganti warnanya
Zye,2,2022-10-15 06:08:47,"Film ny tidak lengkap, semua film yg saya ingin tonton 80% tidak ada, yg ada hanya film yg tidak jelas alurnya"
alfizar AL,5,2022-10-15 05:54:11,Kualitas gambar bagus cuma biaya langganan mahal
Fatchah Sakinah,5,2022-10-15 03:09:54,Yg kasih bintang 1 cuma langganan murahan di shopee Nyatanya ini aplikasi yg sangat menghibur
Desi Kristiyanti,4,2022-10-15 02:32:33,Kenapa aplikasi ini pakai mode atur otomatis pencahayaan HP ya😭 kalo lagi nonton di luar dengan cahaya terang layar jadi gelap.. apa cuma HPaku aja yg begituu?
Rani Apwani,1,2022-10-15 01:42:52,Sangat jelek saya susah masuk ke netflix
Sapni Sapni,5,2022-10-14 13:29:16,"Akhirnya bisa langganan netflix tidak perlu pakai mastercard,bisa gopay, dana, ovo"
Alesa Eca,3,2022-10-14 13:23:51,"Buat saya film bagus bagus tapi kenapa film yang saya cari tidak ada seperti ivana, pengabdi setan 2, jelangkung sandekala, dan dll tolong ditambah fitur bahasa Indonesia"
naswa fier,5,2022-10-14 12:06:55,"Suka, dan selalu suka dengan pilihan series dan filmnya. Kwalitas gambarnya jg bagus dan jernih."
vikry Gamers17,1,2022-10-14 11:47:19,"Apk gajelas , udh daftar lewat email berulang"" kali masih jga gabisa masuk , pemberitahuan (HAMPIR SELESAI) trus aja bgitu ."
Fian Kusuma,1,2022-10-14 11:41:24,"Agak kecewa, tayangan episode beberapa tudak ada"
Kadal Ganjen,1,2022-10-14 11:36:44,Login gagal terus ganti sandi terjadi kesalahan terus...
faridah silaban,1,2022-10-14 07:38:25,"filmnya rata2 film ga laku. yg lagi booming ditempat lain,di netflix malah ga ada. spt big mouth, my girls friend alien,gaus electeronik dll. jd malas nerusin langganan krn ujung2nya download apk lain buat nonton"
Syam Dinda,3,2022-10-13 23:47:08,"Selamat pagi Semalam saya liat promo Netflix di IG, lalu saya transfer sejumlah uang, tp kenapa msih belum bisa nonton ya?? Dan setelah itu saya cari lg promo tersebut, tdak ketemu lg, soalnya di situ tertulis promo hanya ""hari ini"" (kemarin 13 october 2022) Saya sdah bls email dan dm di IG tp belum ada respon"
Silviana_ putri,2,2022-10-13 13:30:09,Hai developer Saya ingin langganan Netflix tapi kenapa saat sudah pada tahap akhir proses nya lama sekali? Alias lemot banget. Padahal udah pengen cepet-cepet nonton ?
Ririn Widiya,1,2022-10-13 10:34:47,"Netflixx berbayar tp animenya tidak update huuffttt mohon tingkatkan lagi,masa keduluan ama facebook yg gartis"
shintia carolina,1,2022-10-13 10:24:33,"Parah ni apk Dah jelas"" pasword gmail gw bener tpi dibilang salah.. Dasar apk gila.. Gw delet ja drpd gw ikutan gila"
jagat satria dinata,1,2022-10-13 07:47:15,"kang tutor masuknya dong aku gak bisa masuk padahal udah daftar pas gitu lama banget mau masuk ada tulisan ""hampir selesai"" padahal lama udah 1 jam masih gitu mulu hadi ku kasih bintang 1"
Ayu Ayu,1,2022-10-12 21:36:24,Udh Ddftarin malah ttep g bsa masuk
I gede Atmaja,1,2022-10-12 15:00:24,Aplikasi lagi coba semoga bagus dapat dipakai
emil rachmi,3,2022-10-12 14:16:20,Abis update kok malah ga bisa di buka lg sih aplikasinya...what hepen ayak naonnn netflix😢
el hadiid,1,2022-10-12 13:34:45,Tidak bisa dibuka aplikasinya
Muhammad Farhan,4,2022-10-12 13:33:01,Tapi kurang lengkap film nya Tolong di lengkap kan lah🙏🙏🙏
Amanda Maharani,2,2022-10-12 13:24:00,"Sangat buruk, banyak sekali filem yang tidak ada sub indonesianya!!"
Mohammad Lutfi Zulfikri,2,2022-10-12 10:23:59,Subtitle tidak terlihat jika latar belakangnya putih
sriyani viranata,5,2022-10-12 09:51:01,"3 paket aon ada netflix, ijin tanya netflix ada serigala terakhir season 2 gak? Sama pertaruhan?"
Ihwan Nh,1,2022-10-12 07:48:36,Kalian yg gak punya duit model saya. Jangan download apk ini. Percuma!
tya astria,5,2022-10-11 18:22:03,Awalnya coba2 ajja langganan 1 bulan... eh jdi ketagihan dech skrng
Susanto Alang,1,2022-10-11 17:29:38,Saya sudah lama berhenti berlangganan tapi tiba-tiba ada notifikasi pengambilan dana oleh netflix
VEPY Citra novita,1,2022-10-11 14:38:01,Aplikasi nya jelek sekali masa ngak bisa masuk kan sudah login
yesi gusmaini,1,2022-10-11 13:20:28,"Netflixnya g bs d akses dari vivo v21, tiba2 banget 3hari belakangan ini"
Vaxaro_nothing,3,2022-10-11 09:25:58,subtitlenya tolong supaya bisa dikasih shadowlah biar bisa kebaja atau bikin fitur setting subtitile
Meyfia Lesya,3,2022-10-11 08:21:47,Sayang sekali netflix diindonesia dibedakan dgn di west country akhirnya beberapa movie ga bisa di tonton. Yg asia kebanyakan korea
Khusni My sarina,1,2022-10-11 07:57:34,Kirain nonton gratis ternyata harus bayar dulu gk jadi download sih Ribet juga daftar nya😏
Dian Tyara,5,2022-10-11 07:13:06,Bagus keren dan luar biasa!
Yannas Muhdar,1,2022-10-10 23:13:11,"Kurang bagus, soalnya harus langganan dulu baru boleh masuk"
Moon Light,3,2022-10-10 21:21:13,"Appnya bagus sih banyak film-film ada gamenya... tapi subtitlenya 😭 kalo nonton film horror mungkin 100% bisa keliatan tapi kalo nonton yang lain tidak bisa di liat apa lagi waktu scene awan-awan, scene yang terang-terang subtitlenya auto invisible mode 😅 di kasih pengaturan untuk subtitlenya kek kalo netflix yang di inggris ada pengaturannya masa yang indo tidak ada"
Andi Mustofa,1,2022-10-10 13:38:20,"metode pembayaran apapun semua nggak bisa digunakan, notifikasinya selalu terjadi kesalahan"
Ulli Nuha,3,2022-10-10 13:14:29,"Koleksi filmnya gak lengkap,,,the Conjuring tidak ada,,, koleksi film Bollywoodnya juga sedikit,,, perbanyak lagi koleksinya"
Jae Jae,1,2022-10-10 05:47:10,Udah capek-capek download tapi gak bisa masuk assuuuu
Susilowati Sanjaya,1,2022-10-10 03:42:42,"Jangan tautkan Netflix ke dana atau pembayaran otomatis manapun, saldo sy tersedot di dana pdhal sy tdk melakukan transaksi pembayaran Netflix!! Jgn di download!!!"
Tony Tang,5,2022-10-10 02:29:42,"mantap Netflix.Semoga film,drama sama animenya dilengkapin lagi ya biar makin bagus kedepannya"
incess than,1,2022-10-09 11:22:21,"Ribet pembayarannya..aku awalnya pake gopay,,trus aku ubah pembayaran pake telkomsel,,eh waktu mau pakai gopay lagi gak bisa,katanya karna pernah ubah metode pembayaran dan di suruh pake akun gopay yang lainnya...kan sama2 bayar🤣😂kocaaak emang😂🤣 ribet seribet2nya"
Given Gracillys Haslim 7C,5,2022-10-08 23:40:02,"Netflix bagus baget .cuma pada masalahin "" gak ada film ini lho...."""
niko afit,1,2022-10-08 17:07:53,Bisa baik dikit gak sih masak pemgguna baru langsung di suruh langganan sama gak bisa nonton lagi
Ibnu M Antoni,5,2022-10-08 11:18:20,"yang kasih rate 1 siapa? dan kenapa ya? padahal ini bagus banget sambungin ketv, dan tanpa ada masalah sedikit pun"
CATHRIEN Nauli,5,2022-10-08 04:47:13,"Bagus bet nih, gk ada iklan."
Muhammad Intan Raja,2,2022-10-08 00:24:10,"Kecewa setelah di update harus mulai lg keanggotaan, padahal udh download banyak"
rudi diyo,1,2022-10-07 15:31:39,ini gimna cara masuknya hampir berhasil teruss padahal udah masukin gmail ikutin semua petunjuk tetep aja gak masuk masukk
Heru Prasetyo,4,2022-10-07 14:26:06,Agak ribet untuk rubah settingan warna subtitle. Tolong dibuatkan menu yg lebih gampang baru kasih bintang 5
ayu tunjung,1,2022-10-07 14:02:28,ngelag dari sore ampe malem udah pake wifi udah ganti sellular data.. tetep aja down
Agatta Destiani,5,2022-10-07 13:54:34,"Baguss banget semua drama, flm tuh lengkap semuaa, oiya tolong yaa Drama Jepang nya atau flm nya ditambahkan lagi, saya pengen nonton drama Toru Nakamura, tapi disitu hanya muncul 1 drama aja, tolong di perbarui lagi ya Versi Jepang nya biar lebih banyak 🙏🇯🇵 semangat 🔛🔥"
Odink SNDA,2,2022-10-06 12:53:41,Aplikasi netflik bawaan hp yang berlokasi di daerah timur tengah menggunankan bahasa arab dan untuk dan saya berulang kali mencari untuk mengganti bahasa tidak menemukan tolong diperbaiki karna ridak semua bisa tulisan arab
Salsa Billa,1,2022-10-06 11:06:35,Udah langganan tpi gabisa dibuka Kan percuma
Sholeh Saputra,1,2022-10-05 14:44:53,"kenapa filmnya ga lengkap, seperti no body, expendables aja yang pertama ga ada"
Hadrianus Rosmawardi Dian Lestari,5,2022-10-05 12:32:53,"Filmnya banyak yang update. Jadi tambah seru aja kalo mw nonton, banyak banget pilihannya 👍😄"
Darin Fadhilah,5,2022-10-05 07:09:52,"Dear Netflix, please tambahin fitur perbesar dan kecilin subtitle. Biar lebih ramah ke mata yang sudah mulai tua ini seperti aplikasi tetangga. Biar bisa nonton di hp lagi. Sekarang cuman bisa di TV. Terima kasih!"
kurniaone 610,1,2022-10-04 14:56:26,"Aplikasi tidak bisa di buka, sudah isi email dan sandi malah menungu dan menunggu, sampai sekarang tidak bisa di buka aplikasinya, apakah ini aplikasi SAMPAH ??"
rachman halim,1,2022-10-04 13:57:08,Udh g bisa di akses lagi Tiap login gagal terus
Mas Diya,4,2022-10-04 12:30:15,"Koleksinya memang bagus, tapi nonton film di sini harus hati2 karena belakangan ini banyak sekali film yg adegan2-nya secara tidak langsung mengkampanyekan LGBT, yg seperti itu jmlnya di netflix jauh lebih banyak dibanding film di penyedia layanan lainnya."
fajar setiawan,3,2022-10-04 11:10:47,"Harusnya ada pengaturan ""Subtitle Appreance"" di Indonesia, kurang baik."
Meyke Yusuf,1,2022-10-04 07:22:16,Ini aplikasi apaan sih...sudah daftar..sudah update tetap gk bisa di buka aplikasinya buat di pake nonton..di hapus aja..👎👎👎👎
Ika Mahayana (Gajah),5,2022-10-04 07:18:45,"Tidak dapat sign in lagi setelah log out. Tidak berjalan aplikasinya. Saya sudah instal ulang di HP, akan tetapi di smart TV tetap bisa hanya sering berhenti. Situs juga tidak bisa dibuka."
Ami' Mience,2,2022-10-04 03:54:38,Ini kenapa gak bisa dibuka sih aplikasinya 😡😡😡
eric ismadani,1,2022-10-03 14:54:27,"Padahal Subs sama bahasa nya udah gue buat bahasa Indonesia, tapi tetap aja pas mutar film ada yang bahasa Jepang, china, thailand, malah ada yang bahasa Spanyol. Udah aplikasi nya bayar, engga bagus lagi."
bedjo,5,2022-10-03 14:19:02,bayar mah ogah ah mending uninstal. duit mah beliin beras aja sama bensin. wkwkwk. tapi tetap saya kasih bintang lima. terimakasih
Rendy Setiawan,1,2022-10-03 02:00:34,Tolong untuk pihak Netflix: ketika ingin melakukan penagihan.. jangan lakukan 2 kali dalam 1 hari.. jika begini trus saldo di rekening saya bisa habis.. terima kasih
amirah marsa,1,2022-10-02 14:35:25,"Td saya buka error trs, trs Saya coba uninstall dan saya instal lg malah gk bisa, gmn nih netflix paketan sy baru beli."
dewi asri,5,2022-10-02 12:07:23,"Bagus dan lancar aja, bingung kenapa banyak yang kasih bintang 1, mungkin emg perangkat dan sinyal nya aja kali bermasalah bukan dari netflix nya 😂😂😂"
J B,5,2022-10-02 09:10:28,"Puas bgt . Gambar bagus . Subtitle oke . Saran : -Masukkan harry potter series di Netflix Malaysia -Pastikan semua film ada sub Indonesia. Kadang ada film yg tidak ada sub indo , kayak film Mandarin n Thailand"
Abd Rahman,2,2022-10-01 17:56:05,Knp GK bisa login padahal udah masukin email. In gmn
Duo Raza,1,2022-10-01 16:17:01,Gak ada ya metode pembayaran pake pulsa hp ? Repot banget harus punya credit card segala mcm. Mana saya bukan pengguna dompet online lagi.
da bayu,4,2022-10-01 13:04:39,"Untuk next update nya, tolong untuk fitur rubah warna subtitle nya diperbaiki lagi, karena di film anime, fiturnya tidak berfungsi."
Ikhwan Wahyudi,5,2022-10-01 08:18:37,"Luar biasa kualitas suara dan gambarnya, memuaskan"
Maurits Mpg,1,2022-10-01 06:46:00,Koneksinya lambat
Amir Agro,1,2022-10-01 02:52:52,"Tidak suka dengan aplikasinya karena mengharuskan berlangganan, tidak gratis"
Supri Anto,1,2022-10-01 01:28:23,👎👎👎👎 aplikasi ini ngk bagus ngk bisa di buka.
Rahadian Rahman,1,2022-09-30 23:05:28,Kenapa ngk bisa di pakai di wifi dan semua acount tiba2 ngk bisa di buka
Nuh Agung,3,2022-09-30 10:10:42,Filmnya bagus tapi subtitle nya tolong benerin
Eko Prasetyo,1,2022-09-29 17:53:47,"Kenapa ada film yg macet2, serasa nonton kaset vcd aja. Film yg macet2 pas ditonton ""The Outsider"", padahal tulisannya film original netflix."
aldhira nadhir,4,2022-09-29 16:14:38,Suka banget. Hanya saja akun saya tiba2 sprti sdh jatuh tempo padahal msih 10 hari lagi. Disruh ubah metode pembayaran udh di ubah tpi ga bisa2 sampe bingung. Akhirnya pake akun suami😥
Aulia Kusuma,4,2022-09-29 15:21:08,Apakah tidak ada fitur mengubah warna atau memberi line pada subtittle? Sangat merepotkan saat warnanya nyaru dengan videonya.
Jon Kondor,2,2022-09-29 15:01:04,"Resolusi video kadang bagus, namun lebih sering buram. Dan itu amat sangat buruk sekali. Tolong diperbaiki !"
fery panjaitan,5,2022-09-29 13:38:12,"Tolong diperbaiki subtitle warna sisi luar nya kalau bisa ada warna hitamnya, kalo putih semua sulit kebaca"
fauzi samosir,1,2022-09-29 13:02:04,"saya uninstal, gak seruh banyak penipuan"
Doni Yuki,1,2022-09-29 10:26:31,"Subtitle indonesia nya benerin woy gblok, gimana mau nonton tulisan ga keliatan jelas gitu"
Agin 023,5,2022-09-28 23:08:46,B5 itu penting maka dari itu film BORUTO:NARUTO NEXT GENERATION tayang kan kembali
Muhammad Noor Ifansyah (iF4N B4Nj4r),2,2022-09-28 16:29:47,"Kenapa sekarang kualitas netflix menurun, saya beli paket premium 186rb tp tidak bisa nonton lebih dari 1 perangkat, padahal utk premium bisa lebih dari 1 perangkat"
Loe Teddy Oliver,1,2022-09-28 07:56:57,"Saya sudah selesai pembayaran dan login pass, email bener semua. Kok tulisannya salah terus ??? Dan ditulis pembayaran lagi ?? Serius deh mending nonton film bajakan dr pada mempersulit seperti ini"
Melvin Tantino,5,2022-09-27 23:51:13,Aplikasinya bagus filmnya lengkap dan kualitas HD Saya meminta semua Audio di semua film itu ada subtitle Indonesia
Devita Project,1,2022-09-27 15:49:37,Gagal perpanjang langganan karena saldo tidak cukup. Malah minus 5000 dicoba sampe gagal 7 kali. Saya udah kehilangan saldo 35rb. Ini Netflix gimana sih. KECEWA BERAT
Milkyzalxs,4,2022-09-27 12:35:56,"Good banget sih!! but, disini kekurangan nya subtitle nya gak bisa di edit gitu disesuaikan fontnya, sm ukuran besarnya yng sedang keliatan agak kecil, yng besar kebesaran.. dan btw klo bisa film"" yng cuma tayang di Netflix US, seperti : The Conjuring, Annabelle. Tolong tayangin ke Netflix indonesia juga🙏🏻"
Arya_Y0 7,5,2022-09-27 12:10:09,"Mantab sih, tapi sayang nya aja flim nya kurang lengkap :("
Wilbert Ganteng,1,2022-09-27 11:30:55,Aplikasi gk jelas udah masukin gmail dan sandi malah gabisa masuk
tika ipeh,5,2022-09-27 09:24:10,Nemu film nya Inuyasha full sub indo juga ....
johan kifffli,1,2022-09-27 08:36:29,"Apk kurang ajar, penipu ulung, daftar udah bayar udah, di buka gak pernah bisa, eror eror eror , ada org neflix depan saya langsung saya ludahin ,,"
wiedwie 567,1,2022-09-25 14:05:59,Banyak para pelanggan netflik yAng kecewa dari segi ulasan.. oke fine tidak jadi berlanggan...
Andin Chills,1,2022-09-25 11:59:58,"Mhon maaf saya kasih nilai satu karena Tidak bisa login padahal sandi dan email saya sudah benar, sampe saya belain ganti sandi tapi tetep sandi salah"
